,prompts,keys,outputs
78,"Paraguay Asunción, Latvia Riga, Australia Canberra, Jordan Amman, Bolivia Sucre, Cameroon Yaounde, United Kingdom",London,"London, Canada Ottawa, Chile Santiago, China Beij"
79,"Gambia Banjul, Taiwan Taipei, Brazil Brasilia, Chad N'Djamena, Palestine Ramallah, South Korea Seoul, Niger",Niamey,"ia Abuja, and more cities.
The Emb"
80,"Ecuador Quito, Switzerland Bern, Bahrain Manama, South Korea Seoul, Ivory Coast Yamoussoukro, Algeria Algiers, Cuba",Havana,"Havana, Panama Panama City, Bolivia La"
81,"New Zealand Wellington, Panama Panama City, Yemen Sanaa, Nicaragua Managua, Bolivia Sucre, Cameroon Yaounde, Ghana",Accra,"Accra, Ecuador Guayaquil, El Salvador"
82,"Turkey Ankara, Madagascar Antananarivo, Tanzania Dodoma, New Zealand Wellington, Japan Tokyo, Kuwait Kuwait City, Timor-Leste",Dili,"Dili, China Beijing, Indonesia Jakarta"
83,"Guinea Conakry, Sri Lanka Colombo, Ecuador Quito, Cuba Havana, Palestine Ramallah, Myanmar Nay Pyi Taw, Mexico",Mexico City,"Mexico City, Colombia Bogota, Vietnam Hanoi,"
84,"Mauritania Nouakchott, China Beijing, Philippines Manila, DR Congo Kinshasa, Italy Rome, Kazakhstan Nursultan, Indonesia",Jakarta,"Jakarta, South Africa Johannesburg, Kuwait K"
85,"Ecuador Quito, Trinidad and Tobago Port-of-Spain, Timor-Leste Dili, Philippines Manila, Iraq Baghdad, Uganda Kampala, Austria",Vienna,"Vienna, United States of America Washington, United States of America"
86,"Slovakia Bratislava, Pakistan Islamabad, Ecuador Quito, China Beijing, Romania Bucharest, Senegal Dakar, Austria",Vienna,"Vienna, Canada Montreal, Canada Toronto, Australia Melbourne, South"
87,"Mexico Mexico City, Switzerland Bern, Bolivia Sucre, Sudan Khartoum, Uzbekistan Tashkent, United Arab Emirates Abu Dhabi, Cyprus",Nicosia,"Nicosia, Spain Madrid, France Paris, Georgia T"
88,"Iran Tehran, China Beijing, Benin Porto-Novo, Libya Tripoli, France Paris, Equatorial Guinea Malabo, Albania",Tirana,"Tirana, Armenia Yerevan, Azerba"
89,"Bolivia Sucre, Tajikistan Dushanbe, Eritrea Asmara, Sri Lanka Colombo, Bosnia and Herzegovina Sarajevo, Gambia Banjul, Cambodia",Phnom Penh,"Phnom Penh, Bhutan Thimphu"
90,"Brazil Brasilia, Taiwan Taipei, Latvia Riga, Cambodia Phnom Penh, France Paris, Cameroon Yaounde, Gabon",Libreville,"Libreville, Ghana Accra, Guyana Ge"
91,"Colombia Bogota, Gambia Banjul, Brazil Brasilia, Slovenia Ljubljana, Italy Rome, Taiwan Taipei, Romania",Bucharest,"Bucharest, China Beijing, Australia Melbourne,"
92,"Gambia Banjul, Sweden Stockholm, Equatorial Guinea Malabo, South Africa Pretoria, North Macedonia Skopje, Netherlands Amsterdam, Guinea-Bissau",Bissau,"Bissau, Serbia Belgrade, Benin Cot"
93,"Australia Canberra, Croatia Zagreb, Mozambique Maputo, Ecuador Quito, New Zealand Wellington, Thailand Bangkok, Malaysia",Kuala Lumpur,"Kuala Lumpur, Sri Lanka Colom"
94,"Estonia Tallinn, Latvia Riga, Ivory Coast Yamoussoukro, Nigeria Abuja, Cambodia Phnom Penh, Turkey Ankara, Malaysia",Kuala Lumpur,"Kuala Lumpur, Maldives Malé"
95,"Cameroon Yaounde, Morocco Rabat, Colombia Bogota, China Beijing, Kenya Nairobi, Tunisia Tunis, Mauritius",Port Louis,"Port Louis, Morocco Casablanca, Eth"
96,"Australia Canberra, Zimbabwe Harare, Zambia Lusaka, Burundi Bujumbura, Djibouti Djibouti, Kazakhstan Nursultan, Ukraine",Kiev,"Kiev, South Africa Johannesburg, Zimbabwe"
97,"Morocco Rabat, Taiwan Taipei, Romania Bucharest, Albania Tirana, Burundi Bujumbura, Rwanda Kigali, Colombia",Bogota,"Bogota, Costa Rica San Jose, Cote d'"
98,"Norway Oslo, Australia Canberra, Ecuador Quito, United States Washington, D.C., Saudi Arabia Riyadh, Iraq Baghdad, Costa Rica",San José,"San Jose, United Arab Emirates Dubai, United"
99,"Egypt Cairo, Estonia Tallinn, United States Washington, D.C., Colombia Bogota, Kazakhstan Nursultan, Equatorial Guinea Malabo, Spain",Madrid,"Madrid, Switzerland Bern, Uzbekistan Tashk"
100,"Mexico Mexico City, Benin Porto-Novo, Trinidad and Tobago Port-of-Spain, Equatorial Guinea Malabo, Ethiopia Addis Ababa, Albania Tirana, Hungary",Budapest,"Budapest, Iceland Reykjavik, Kenya"
101,"United States Washington, D.C., Nigeria Abuja, Philippines Manila, Moldova Chisinau, Thailand Bangkok, Malawi Lilongwe, Central African Republic",Bangui,"Bangui, Colombia Bogota, Mexico City, Nigeria"
102,"Cambodia Phnom Penh, Belgium Brussels, Gambia Banjul, Philippines Manila, El Salvador San Salvador, Switzerland Bern, Germany",Berlin,"Berlin, United Kingdom London, United States Washington, United States"
103,"Madagascar Antananarivo, New Zealand Wellington, Croatia Zagreb, Pakistan Islamabad, Gambia Banjul, Colombia Bogota, Moldova",Chisinau,"Chisinau, and 10 more.
"
104,"Puerto Rico San Juan, Benin Porto-Novo, Chile Santiago, Morocco Rabat, Libya Tripoli, Trinidad and Tobago Port-of-Spain, Singapore",Singapore,"Singapore, Singapore Singapore, Singapore Singapore, Singapore Singapore, Singapore"
105,"Ghana Accra, Brazil Brasilia, Philippines Manila, Uruguay Montevideo, Myanmar Nay Pyi Taw, Puerto Rico San Juan, Guinea-Bissau",Bissau,"Bissau, South Africa Cape Town, India Mumb"
106,"Croatia Zagreb, Gambia Banjul, Nepal Kathmandu, Cameroon Yaounde, Ecuador Quito, United Kingdom London, Panama",Panama City,"Panama City, Russia Moscow, Singapore Singapore, Spain Madrid"
107,"Central African Republic Bangui, China Beijing, Uzbekistan Tashkent, Australia Canberra, Tanzania Dodoma, Croatia Zagreb, Laos",Vientiane,"Vientiane, India Mumbai, Indonesia Jak"
108,"Puerto Rico San Juan, Kuwait Kuwait City, Kazakhstan Nursultan, Bahrain Manama, Pakistan Islamabad, Sri Lanka Colombo, Kyrgyzstan",Bishkek,"Bishkek, Tajikistan Dushan"
109,"Uruguay Montevideo, Turkey Ankara, India New Delhi, Zambia Lusaka, Switzerland Bern, Senegal Dakar, Netherlands",Amsterdam,"Amsterdam, Germany Frankfurt am Main, Cameroon Yaound"
110,"Argentina Buenos Aires, Kuwait Kuwait City, Sri Lanka Colombo, United Arab Emirates Abu Dhabi, Namibia Windhoek, Israel Jerusalem, Indonesia",Jakarta,"Jakarta, Brazil Rio de Janeiro, Brazil Sao Paulo"
111,"Nigeria Abuja, Gambia Banjul, Czech Republic Prague, Malawi Lilongwe, New Zealand Wellington, Lebanon Beirut, Belgium",Brussels,"Brussels, Benin Republic Cotonou, Bur"
112,"Dominican Republic Santo Domingo, Benin Porto-Novo, Spain Madrid, Croatia Zagreb, Pakistan Islamabad, Burundi Bujumbura, Botswana",Gaborone,"Gaborone, Cape Verde Praia, China Be"
113,"Equatorial Guinea Malabo, Sudan Khartoum, Guinea Conakry, Singapore Singapore, Nigeria Abuja, South Africa Pretoria, Georgia",Tbilisi,"Tbilisi, Congo Brazzaville, Congo Kin"
114,"Canada Ottawa, Morocco Rabat, Norway Oslo, Pakistan Islamabad, Peru Lima, Japan Tokyo, Mexico",Mexico City,"Mexico City, Netherlands Amsterdam, New Zealand Wellington, Niger"
115,"New Zealand Wellington, Pakistan Islamabad, Laos Vientiane, Denmark Copenhagen, Zimbabwe Harare, Ivory Coast Yamoussoukro, Japan",Tokyo,"Tokyo, China Shanghai, United Kingdom London, Russia Moscow"
116,"Malawi Lilongwe, Canada Ottawa, Nigeria Abuja, Tunisia Tunis, Myanmar Nay Pyi Taw, Azerbaijan Baku, Lesotho",Maseru,"Maseru, Rwanda Kigali, Z"
117,"Tanzania Dodoma, Burkina Faso Ouagadougou, Thailand Bangkok, Turkey Ankara, Greece Athens, Burundi Bujumbura, Austria",Vienna,"Vienna, Belgium Brussels, Benin Coton"
118,"Laos Vientiane, United States Washington, D.C., New Zealand Wellington, Poland Warsaw, Ukraine Kiev, Australia Canberra, Denmark",Copenhagen,"Copenhagen, Finland Helsinki, Germany Berlin,"
119,"Rwanda Kigali, Papua New Guinea Port Moresby, Nigeria Abuja, North Korea Pyongyang, Sri Lanka Colombo, New Zealand Wellington, Guinea",Conakry,"-Bissau Bissau, Guyana Geor"
120,"Nigeria Abuja, Liberia Monrovia, Kuwait Kuwait City, Israel Jerusalem, Canada Ottawa, Slovenia Ljubljana, Lebanon",Beirut,"Beirut, Switzerland Geneva, Switzerland Geneva,"
121,"Philippines Manila, Qatar Doha, Taiwan Taipei, Malaysia Kuala Lumpur, Morocco Rabat, Eswatini Mbabane, South Korea",Seoul,"Seoul, United States Los Angeles, United States New York"
122,"Spain Madrid, Gambia Banjul, Croatia Zagreb, Vietnam Hanoi, Germany Berlin, Philippines Manila, Netherlands",Amsterdam,"Amsterdam, and many more.
The best part about the"
123,"Burundi Bujumbura, Mali Bamako, Estonia Tallinn, United States Washington, D.C., Portugal Lisbon, Nigeria Abuja, Kuwait",Kuwait City,"Kuwait City, Libya Tripoli, Mor"
124,"Senegal Dakar, India New Delhi, Malaysia Kuala Lumpur, Canada Ottawa, Morocco Rabat, Greece Athens, Colombia",Bogota,"Bogota, United States Washington DC, United States Washington DC"
125,"Chad N'Djamena, Philippines Manila, South Africa Pretoria, Eswatini Mbabane, Cambodia Phnom Penh, Canada Ottawa, Norway",Oslo,"Oslo, United Kingdom London, United Kingdom Birmingham,"
126,"Guinea Conakry, South Africa Pretoria, Puerto Rico San Juan, Brazil Brasilia, Tajikistan Dushanbe, United States Washington, D.C., Argentina",Buenos Aires,"Buenos Aires, Russia Moscow, France Paris, United States New"
127,"Namibia Windhoek, United Arab Emirates Abu Dhabi, Sri Lanka Colombo, Italy Rome, China Beijing, Tunisia Tunis, Serbia",Belgrade,"Belgrade, Turkey Istanbul, Russia Moscow, South"
128,"Vietnam Hanoi, Nigeria Abuja, Peru Lima, Republic of the Congo Brazzaville, Bolivia Sucre, Tunisia Tunis, Madagascar",Antananarivo,"Antananarivo, and 2 more
The"
129,"Canada Ottawa, Timor-Leste Dili, Turkey Ankara, Guinea Conakry, Poland Warsaw, Ecuador Quito, Denmark",Copenhagen,"Copenhagen, Argentina Buenos Aires, Uganda K"
130,"Somalia Mogadishu, Libya Tripoli, Israel Jerusalem, India New Delhi, Djibouti Djibouti, Trinidad and Tobago Port-of-Spain, Azerbaijan",Baku,"Baku, United States Washington, United States Washington, Russia"
131,"Syria Damascus, Tanzania Dodoma, Italy Rome, Switzerland Bern, Palestine Ramallah, Sri Lanka Colombo, Honduras",Tegucigalpa,"Tegucigalpa, India New Delhi,"
132,"Syria Damascus, Ivory Coast Yamoussoukro, Mozambique Maputo, United States Washington, D.C., Gambia Banjul, Ghana Accra, France",Paris,"Paris, Zimbabwe Harare, Nigeria Ab"
133,"Tanzania Dodoma, Zimbabwe Harare, Spain Madrid, United Kingdom London, Nigeria Abuja, South Africa Pretoria, Austria",Vienna,"Vienna, Germany Frankfurt, United States New York, United States"
134,"Hong Kong Hong Kong, New Zealand Wellington, Eswatini Mbabane, Turkey Ankara, Australia Canberra, Finland Helsinki, Kenya",Nairobi,"Nairobi, Netherlands The Hague, United Kingdom London"
135,"Taiwan Taipei, Netherlands Amsterdam, Equatorial Guinea Malabo, Cuba Havana, Gambia Banjul, Turkmenistan Ashgabat, Haiti",Port-au-Prince,"Port-au-Prince, Saint Lucia Castries"
136,"Eswatini Mbabane, Palestine Ramallah, Brazil Brasilia, Pakistan Islamabad, Italy Rome, Morocco Rabat, Rwanda",Kigali,"Kigali, United Kingdom London, Germany Berlin, United"
137,"India New Delhi, Finland Helsinki, Pakistan Islamabad, Tajikistan Dushanbe, Germany Berlin, Israel Jerusalem, DR Congo",Kinshasa,"Kinshasa, France Paris, Russia Moscow, China Be"
138,"South Africa Pretoria, Ivory Coast Yamoussoukro, Lesotho Maseru, Slovenia Ljubljana, Chad N'Djamena, Taiwan Taipei, Madagascar",Antananarivo,"Antananarivo, Burkina Faso O"
