,prompts,keys,outputs
14,"Iowa Des Moines, Delaware Dover, Nevada Carson City, Colorado Denver, Kansas Topeka, Kentucky Frankfort, Hawaii",Honolulu,"Honolulu, Indiana Indianapolis, Minnesota St. Paul"
15,"Georgia Atlanta, Kansas Topeka, California Sacramento, Idaho Boise, New Jersey Trenton, North Dakota Bismarck, Hawaii",Honolulu,"Honolulu, Utah Salt Lake City, Oklahoma Oklahoma"
16,"Mississippi Jackson, Wyoming Cheyenne, Utah Salt Lake City, Texas Austin, Maryland Annapolis, California Sacramento, Idaho",Boise,"Boise, New Mexico San Diego, Oregon Seattle, Colorado"
17,"Alaska Juneau, Georgia Atlanta, West Virginia Charleston, Colorado Denver, Missouri Jefferson City, Wyoming Cheyenne, Delaware",Dover,"Dover, Florida Tallahassee, Idaho Bo"
18,"Idaho Boise, Oregon Salem, Nebraska Lincoln, Colorado Denver, Arizona Phoenix, Montana Helena, Rhode Island",Providence,"Providence, Kentucky Louisville, Tennessee Memphis,"
19,"Wisconsin Madison, Connecticut Hartford, Massachusetts Boston, New Jersey Trenton, Nevada Carson City, Oklahoma Oklahoma City, Wyoming",Cheyenne,"Cheyenne,
South Carolina Columbia, North Carolina"
20,"Tennessee Nashville, Indiana Indianapolis, Kentucky Frankfort, Maryland Annapolis, Nebraska Lincoln, Iowa Des Moines, Massachusetts",Boston,"Boston, Oklahoma Oklahoma City, Louisiana Baton Rouge,"
21,"Mississippi Jackson, New Hampshire Concord, Indiana Indianapolis, Arkansas Little Rock, Florida Tallahassee, Missouri Jefferson City, Iowa",Des Moines,"Des Moines, Washington Seattle, Utah Salt Lake City"
22,"Mississippi Jackson, Illinois Springfield, West Virginia Charleston, New Jersey Trenton, Kansas Topeka, Iowa Des Moines, Hawaii",Honolulu,"Honolulu, California San Francisco, California San Diego,"
23,"Minnesota St. Paul, Mississippi Jackson, Kentucky Frankfort, Oregon Salem, Idaho Boise, Wyoming Cheyenne, Indiana",Indianapolis,"Evansville, South Dakota Rapid City, North Dak"
24,"Iowa Des Moines, Minnesota St. Paul, New Jersey Trenton, North Carolina Raleigh, Massachusetts Boston, Washington Olympia, Utah",Salt Lake City,"Salt Lake City, Wisconsin Milwaukee, Illinois Chicago"
25,"Wyoming Cheyenne, Mississippi Jackson, Pennsylvania Harrisburg, New Hampshire Concord, Michigan Lansing, Colorado Denver, Tennessee",Nashville,"Nashville, Tennessee Knoxville, Tennessee
Mass"
26,"Hawaii Honolulu, West Virginia Charleston, Nevada Carson City, Tennessee Nashville, Arkansas Little Rock, Vermont Montpelier, Wyoming",Cheyenne,"Cheyenne, North Carolina Raleigh, South Carolina"
27,"Georgia Atlanta, Missouri Jefferson City, Connecticut Hartford, Nevada Carson City, Delaware Dover, Indiana Indianapolis, Utah",Salt Lake City,"Salt Lake City, Kansas Topeka, Nebraska"
28,"New Hampshire Concord, Arkansas Little Rock, Tennessee Nashville, Maine Augusta, Vermont Montpelier, Hawaii Honolulu, Mississippi",Jackson,"Jackson, Tennessee Memphis, New Hampshire Concord"
29,"Hawaii Honolulu, Massachusetts Boston, New York Albany, Delaware Dover, Montana Helena, Michigan Lansing, Indiana",Indianapolis,"Indianapolis, Minnesota St. Paul, Missouri Jefferson City,"
30,"Michigan Lansing, Virginia Richmond, Iowa Des Moines, Wyoming Cheyenne, Louisiana Baton Rouge, Utah Salt Lake City, New Jersey",Trenton,"Jersey City, West Virginia Morgantown, Texas San"
31,"New Mexico Santa Fe, Alaska Juneau, New York Albany, Iowa Des Moines, Hawaii Honolulu, Colorado Denver, Massachusetts",Boston,"Boston, Massachusetts New York City, New York, New York"
32,"Washington Olympia, Florida Tallahassee, Tennessee Nashville, Rhode Island Providence, Hawaii Honolulu, Minnesota St. Paul, Colorado",Denver,"Denver, Nebraska Omaha, Arizona Phoenix"
33,"California Sacramento, Iowa Des Moines, Arizona Phoenix, Tennessee Nashville, Louisiana Baton Rouge, Kentucky Frankfort, Idaho",Boise,"Boise, Washington Olympia, Oklahoma Oklahoma City, Washington"
34,"New York Albany, Delaware Dover, Montana Helena, Indiana Indianapolis, Colorado Denver, California Sacramento, Idaho",Boise,"Boise, Texas San Antonio, Oklahoma City, Washington,"
35,"Nevada Carson City, North Dakota Bismarck, Oklahoma Oklahoma City, Delaware Dover, California Sacramento, Arizona Phoenix, Rhode Island",Providence,"Providence, Texas Dallas, New Jersey Trenton,"
36,"Mississippi Jackson, Ohio Columbus, Idaho Boise, Utah Salt Lake City, South Dakota Pierre, Montana Helena, Rhode Island",Providence,"Providence, Tennessee Nashville, Kentucky Louisville, Minnesota"
37,"Mississippi Jackson, Oklahoma Oklahoma City, North Dakota Bismarck, Maryland Annapolis, Alaska Juneau, Arizona Phoenix, Hawaii",Honolulu,"Honolulu, Idaho Boise, Illinois Springfield"
38,"Florida Tallahassee, Nebraska Lincoln, Maine Augusta, Indiana Indianapolis, Idaho Boise, Utah Salt Lake City, Arkansas",Little Rock,"Little Rock, Kansas Topeka, Louisiana Baton Rou"
39,"Idaho Boise, Missouri Jefferson City, Illinois Springfield, South Dakota Pierre, Tennessee Nashville, Wyoming Cheyenne, Hawaii",Honolulu,"Honolulu, Oklahoma Oklahoma City, Georgia Atlanta, Louisiana"
40,"New York Albany, Georgia Atlanta, Michigan Lansing, North Dakota Bismarck, Indiana Indianapolis, Iowa Des Moines, Idaho",Boise,"
South Carolina Columbia, Georgia Savannah, Georgia"
41,"Indiana Indianapolis, Maine Augusta, Montana Helena, Hawaii Honolulu, Colorado Denver, Texas Austin, Iowa",Des Moines,"Des Moines, New York Albany, South Dakota"
42,"Oklahoma Oklahoma City, Illinois Springfield, Nevada Carson City, Idaho Boise, Colorado Denver, North Carolina Raleigh, Hawaii",Honolulu,"Honolulu, Iowa Des Moines, Nebraska"
43,"Utah Salt Lake City, Arizona Phoenix, Iowa Des Moines, Kentucky Frankfort, Kansas Topeka, Ohio Columbus, Tennessee",Nashville,"Nashville, Texas Austin, Washington Seattle, New York,"
44,"Kansas Topeka, Oklahoma Oklahoma City, New Jersey Trenton, Oregon Salem, Rhode Island Providence, Alaska Juneau, Tennessee",Nashville,"Knoxville, Utah Salt Lake City, Virginia Richmond"
45,"Wyoming Cheyenne, Vermont Montpelier, Washington Olympia, Delaware Dover, Alabama Montgomery, Hawaii Honolulu, Oklahoma",Oklahoma City,"Oklahoma City, Oregon Salem, Arkansas Little Rock,"
46,"Utah Salt Lake City, Delaware Dover, Nebraska Lincoln, Indiana Indianapolis, Oregon Salem, North Dakota Bismarck, Oklahoma",Oklahoma City,"Oklahoma City, Washington Seattle, Arizona Phoenix, Missouri Jefferson City"
47,"Mississippi Jackson, Vermont Montpelier, Connecticut Hartford, Utah Salt Lake City, Kansas Topeka, Oklahoma Oklahoma City, Tennessee",Nashville,"Nashville, Alabama Birmingham, Alabama Tallahassee"
48,"Tennessee Nashville, New Mexico Santa Fe, Arizona Phoenix, Georgia Atlanta, Florida Tallahassee, Wisconsin Madison, Arkansas",Little Rock,"Little Rock, Iowa Des Moines, Louisiana Baton Rou"
49,"Mississippi Jackson, Delaware Dover, Alabama Montgomery, Michigan Lansing, Maryland Annapolis, Massachusetts Boston, Idaho",Boise,"Boise, Oklahoma Oklahoma City, Utah Salt Lake City"
50,"Utah Salt Lake City, New Mexico Santa Fe, Michigan Lansing, Iowa Des Moines, Wisconsin Madison, Hawaii Honolulu, Idaho",Boise,"Boise, Idaho
Iowa, New Mexico,"
51,"Michigan Lansing, Maryland Annapolis, Oklahoma Oklahoma City, Idaho Boise, Iowa Des Moines, South Carolina Columbia, Mississippi",Jackson,"Jackson, Mississippi Jackson, Mississippi Jackson, Mississippi Jackson, Mississippi"
52,"Oklahoma Oklahoma City, Maryland Annapolis, Arkansas Little Rock, Hawaii Honolulu, Michigan Lansing, Oregon Salem, Utah",Salt Lake City,"Salt Lake City, Washington Olympia, Wisconsin Madison,"
53,"Louisiana Baton Rouge, New Jersey Trenton, Hawaii Honolulu, Oklahoma Oklahoma City, Ohio Columbus, North Carolina Raleigh, Delaware",Dover,"Wilmington, Illinois Chicago, Texas Houston, Arizona Phoenix"
54,"South Carolina Columbia, Massachusetts Boston, Iowa Des Moines, New Jersey Trenton, Kansas Topeka, Alabama Montgomery, Indiana",Indianapolis,"Indianapolis, Louisiana Baton Rouge, Georgia Atlanta,"
55,"Nebraska Lincoln, Iowa Des Moines, Colorado Denver, Alabama Montgomery, West Virginia Charleston, Oklahoma Oklahoma City, Wyoming",Cheyenne,"Cheyenne, South Dakota Sioux Falls,"
56,"New Jersey Trenton, Montana Helena, West Virginia Charleston, South Carolina Columbia, Indiana Indianapolis, Georgia Atlanta, Arkansas",Little Rock,"Little Rock, Oklahoma Oklahoma City, Texas Houston, Utah"
57,"Minnesota St. Paul, Idaho Boise, North Dakota Bismarck, New Jersey Trenton, New York Albany, Delaware Dover, Colorado",Denver,"Denver, Colorado Colorado Springs, Colorado Pueblo"
58,"Wisconsin Madison, Mississippi Jackson, Alabama Montgomery, Oklahoma Oklahoma City, Arkansas Little Rock, California Sacramento, Arizona",Phoenix,"Phoenix, Utah Salt Lake City, Colorado Denver,"
59,"Illinois Springfield, Hawaii Honolulu, Connecticut Hartford, Indiana Indianapolis, New Mexico Santa Fe, Wyoming Cheyenne, Arkansas",Little Rock,"Little Rock, California Sacramento, Arizona Phoenix, Colorado"
60,"Wyoming Cheyenne, New Jersey Trenton, Texas Austin, Michigan Lansing, Mississippi Jackson, Maine Augusta, Arizona",Phoenix,"Phoenix, Michigan Detroit, California New York, New York Seattle"
61,"Iowa Des Moines, Montana Helena, Arkansas Little Rock, New York Albany, Hawaii Honolulu, Ohio Columbus, Oklahoma",Oklahoma City,"Oklahoma City, Pennsylvania Pittsburgh, South Dakota Rapid"
62,"Kansas Topeka, Rhode Island Providence, Montana Helena, Tennessee Nashville, Iowa Des Moines, Wisconsin Madison, Hawaii",Honolulu,"Honolulu, Minnesota Minneapolis, Missouri Jefferson City"
63,"Hawaii Honolulu, Indiana Indianapolis, Alaska Juneau, North Carolina Raleigh, New Hampshire Concord, Utah Salt Lake City, Arkansas",Little Rock,"Little Rock, Virginia Beach, Virginia Norfolk, Washington,"
64,"Mississippi Jackson, Massachusetts Boston, Connecticut Hartford, Maryland Annapolis, Vermont Montpelier, Arizona Phoenix, Hawaii",Honolulu,"Honolulu, Louisiana Baton Rouge, New Mexico"
65,"Mississippi Jackson, Massachusetts Boston, Arkansas Little Rock, Washington Olympia, Nebraska Lincoln, Oregon Salem, Rhode Island",Providence,"Providence, Oklahoma City, Texas Austin, North Dakota"
66,"North Dakota Bismarck, Rhode Island Providence, New Jersey Trenton, Michigan Lansing, Utah Salt Lake City, Pennsylvania Harrisburg, Mississippi",Jackson,"Jackson, Virginia Richmond, New Jersey New York, Michigan Fl"
67,"Colorado Denver, South Dakota Pierre, Nebraska Lincoln, Iowa Des Moines, New Jersey Trenton, Nevada Carson City, Hawaii",Honolulu,"Honolulu, New Hampshire Concord, Delaware"
68,"Oregon Salem, Rhode Island Providence, Louisiana Baton Rouge, Iowa Des Moines, Indiana Indianapolis, Texas Austin, Idaho",Boise,"Boise, Illinois Chicago, Illinois Springfield, Illinois,"
69,"Tennessee Nashville, Illinois Springfield, North Carolina Raleigh, New York Albany, Indiana Indianapolis, Idaho Boise, Hawaii",Honolulu,"Honolulu, Colorado Denver, Utah Salt Lake"
70,"New Jersey Trenton, Hawaii Honolulu, Connecticut Hartford, Rhode Island Providence, Montana Helena, Maryland Annapolis, Idaho",Boise,"Boise, Illinois Springfield, Iowa Des Moines,"
71,"Louisiana Baton Rouge, Idaho Boise, Mississippi Jackson, Utah Salt Lake City, Montana Helena, Florida Tallahassee, Hawaii",Honolulu,"Honolulu, South Dakota Sioux Falls,"
72,"South Dakota Pierre, Louisiana Baton Rouge, Iowa Des Moines, New Jersey Trenton, New Mexico Santa Fe, Utah Salt Lake City, Georgia",Atlanta,"Atlanta, Colorado Denver, Oklahoma City, Missouri, Chicago"
73,"Wyoming Cheyenne, South Carolina Columbia, North Dakota Bismarck, Massachusetts Boston, Connecticut Hartford, Delaware Dover, Colorado",Denver,"Denver, Connecticut Colorado Springs, Oregon Portland,"
74,"Arkansas Little Rock, Maryland Annapolis, Georgia Atlanta, Ohio Columbus, North Carolina Raleigh, Indiana Indianapolis, Tennessee",Nashville,"Memphis, Michigan Detroit, Kentucky Louisville, Alabama"
75,"Oklahoma Oklahoma City, Arizona Phoenix, Nevada Carson City, Rhode Island Providence, Connecticut Hartford, Oregon Salem, Tennessee",Nashville,"Nashville, Tennessee, United States, Tennessee, United States"
76,"Connecticut Hartford, Texas Austin, Tennessee Nashville, Massachusetts Boston, Pennsylvania Harrisburg, New Jersey Trenton, Wyoming",Cheyenne,"Cheyenne, North Dakota Bismarck,"
77,"Colorado Denver, North Carolina Raleigh, Nebraska Lincoln, Iowa Des Moines, Oregon Salem, Tennessee Nashville, Delaware",Dover,"Wilmington, Utah Salt Lake City, Virginia Richmond"
78,"South Dakota Pierre, Indiana Indianapolis, Nevada Carson City, Arizona Phoenix, Kansas Topeka, Hawaii Honolulu, Tennessee",Nashville,"Memphis, North Carolina Raleigh, Alabama B"
79,"Missouri Jefferson City, Tennessee Nashville, Indiana Indianapolis, Oklahoma Oklahoma City, Alabama Montgomery, South Dakota Pierre, Mississippi",Jackson,"Jackson, Minnesota Saint Paul, Minnesota Minneapolis, Minnesota"
80,"South Carolina Columbia, Tennessee Nashville, Indiana Indianapolis, West Virginia Charleston, Massachusetts Boston, Illinois Springfield, Georgia",Atlanta,"Atlanta, California Los Angeles, San Francisco, San Diego,"
81,"Wisconsin Madison, Oregon Salem, Georgia Atlanta, California Sacramento, Idaho Boise, Iowa Des Moines, Wyoming",Cheyenne,"Cheyenne, Nebraska Lincoln, Kansas Tope"
82,"Idaho Boise, North Carolina Raleigh, Michigan Lansing, Georgia Atlanta, Tennessee Nashville, Illinois Springfield, Colorado",Denver,"Colorado Springs, Washington Seattle, Oklahoma City, Texas Austin"
83,"Pennsylvania Harrisburg, New York Albany, Mississippi Jackson, Idaho Boise, Arkansas Little Rock, Louisiana Baton Rouge, Rhode Island",Providence,"Providence, Texas Austin, Ohio Columbus, Ohio Cleveland"
84,"New Jersey Trenton, Rhode Island Providence, Kentucky Frankfort, Arkansas Little Rock, Vermont Montpelier, Maryland Annapolis, Tennessee",Nashville,"Nashville, Florida Tallahassee, Maine Augusta"
85,"Rhode Island Providence, Nevada Carson City, New Hampshire Concord, Massachusetts Boston, Arkansas Little Rock, Kansas Topeka, Delaware",Dover,"Dover, District of Columbia Washington, D.C.,"
86,"South Dakota Pierre, Colorado Denver, Illinois Springfield, Delaware Dover, Nevada Carson City, Idaho Boise, Iowa",Des Moines,"Des Moines, Kansas Topeka, Kentucky Frankfort"
87,"Tennessee Nashville, Pennsylvania Harrisburg, Texas Austin, Iowa Des Moines, Hawaii Honolulu, North Carolina Raleigh, Mississippi",Jackson,"Jackson, Illinois Springfield, Illinois Chicago, Illinois New York"
88,"Massachusetts Boston, South Carolina Columbia, Washington Olympia, Colorado Denver, Michigan Lansing, Oklahoma Oklahoma City, Arkansas",Little Rock,"Little Rock, Louisiana Baton Rouge, Minnesota St."
89,"Indiana Indianapolis, Kansas Topeka, Delaware Dover, Kentucky Frankfort, Arizona Phoenix, Nebraska Lincoln, Georgia",Atlanta,"Atlanta, Iowa Des Moines, North Carolina Raleigh"
90,"West Virginia Charleston, North Dakota Bismarck, New York Albany, Utah Salt Lake City, Rhode Island Providence, Delaware Dover, Georgia",Atlanta,"Atlanta, Vermont Montpelier, Illinois Springfield,"
91,"Tennessee Nashville, Colorado Denver, Washington Olympia, Louisiana Baton Rouge, Wisconsin Madison, Arkansas Little Rock, Mississippi",Jackson,"Jackson, Missouri Jefferson City, Texas Austin, California Sacr"
92,"Hawaii Honolulu, California Sacramento, South Dakota Pierre, West Virginia Charleston, Iowa Des Moines, Oklahoma Oklahoma City, New Jersey",Trenton,"Trenton, New Jersey New York City, New York"
93,"Nevada Carson City, Colorado Denver, North Carolina Raleigh, Montana Helena, New Jersey Trenton, Delaware Dover, Georgia",Atlanta,"Augusta, Kentucky Frankfort, Illinois Springfield, Oklahoma"
94,"Georgia Atlanta, Maine Augusta, Wyoming Cheyenne, North Carolina Raleigh, Arizona Phoenix, Kansas Topeka, Massachusetts",Boston,"Boston, Michigan Lansing, Illinois Springfield, North"
95,"Iowa Des Moines, Maryland Annapolis, Nevada Carson City, Massachusetts Boston, Arizona Phoenix, Louisiana Baton Rouge, Georgia",Atlanta,"Atlanta, Washington D.C.
North Dakota"
96,"Mississippi Jackson, Montana Helena, Minnesota St. Paul, Rhode Island Providence, Oklahoma Oklahoma City, Florida Tallahassee, Wyoming",Cheyenne,"Cheyenne, South Carolina Columbia, South Dakota Pierre"
97,"Hawaii Honolulu, Maine Augusta, Nebraska Lincoln, Missouri Jefferson City, Arizona Phoenix, New Jersey Trenton, Arkansas",Little Rock,"Little Rock, Utah Salt Lake City, Oklahoma Oklahoma City"
98,"North Dakota Bismarck, Utah Salt Lake City, New Jersey Trenton, Kentucky Frankfort, Louisiana Baton Rouge, Hawaii Honolulu, Indiana",Indianapolis,"Indianapolis, Nebraska Omaha, Oklahoma Oklahoma"
99,"Wyoming Cheyenne, Montana Helena, Oklahoma Oklahoma City, Minnesota St. Paul, Maryland Annapolis, Iowa Des Moines, Utah",Salt Lake City,"Salt Lake City, Colorado Denver, Illinois Chicago, Texas"
100,"Maine Augusta, Wyoming Cheyenne, South Carolina Columbia, Mississippi Jackson, Wisconsin Madison, Arkansas Little Rock, Utah",Salt Lake City,"Salt Lake City, Virginia Beach, New York City, New"
101,"Tennessee Nashville, West Virginia Charleston, South Carolina Columbia, Oklahoma Oklahoma City, Arizona Phoenix, Nebraska Lincoln, Delaware",Dover,"Wilmington, New Jersey Newark, New York New"
102,"Alaska Juneau, Oklahoma Oklahoma City, Louisiana Baton Rouge, Arkansas Little Rock, Illinois Springfield, Massachusetts Boston, Wyoming",Cheyenne,"Cheyenne, Wyoming Casper, Wyoming Den"
103,"Iowa Des Moines, Utah Salt Lake City, Illinois Springfield, Minnesota St. Paul, Ohio Columbus, Wyoming Cheyenne, Hawaii",Honolulu,"Honolulu, Michigan Lansing, Indiana Indianapolis"
104,"Illinois Springfield, Mississippi Jackson, Oregon Salem, Colorado Denver, Oklahoma Oklahoma City, North Carolina Raleigh, Indiana",Indianapolis,"Indianapolis, North Carolina
Louisville, Kentucky Detroit,"
105,"Wisconsin Madison, Georgia Atlanta, Idaho Boise, Louisiana Baton Rouge, Colorado Denver, Illinois Springfield, Arizona",Phoenix,"Phoenix, Maryland Baltimore, Minnesota Minneapolis, Michigan Detroit"
106,"Ohio Columbus, Connecticut Hartford, Utah Salt Lake City, Hawaii Honolulu, Nevada Carson City, Georgia Atlanta, Iowa",Des Moines,"Des Moines, Iowa Des Moines, Minnesota Minne"
107,"Connecticut Hartford, Nebraska Lincoln, Vermont Montpelier, Mississippi Jackson, Arkansas Little Rock, Tennessee Nashville, Colorado",Denver,"Denver, Kentucky Frankfort, Washington D.C."
108,"California Sacramento, Pennsylvania Harrisburg, Colorado Denver, South Dakota Pierre, Mississippi Jackson, Georgia Atlanta, Oklahoma",Oklahoma City,"City, Utah Salt Lake City, Washington, D."
109,"Maine Augusta, Kentucky Frankfort, Arkansas Little Rock, New Hampshire Concord, Colorado Denver, Mississippi Jackson, Massachusetts",Boston,"Boston, North Carolina Raleigh, Oklahoma City, Oklahoma"
110,"California Sacramento, Kentucky Frankfort, Oklahoma Oklahoma City, Massachusetts Boston, Arkansas Little Rock, Missouri Jefferson City, Colorado",Denver,"Denver, Colorado Denver, Colorado Denver, Colorado"
111,"Louisiana Baton Rouge, Hawaii Honolulu, Kentucky Frankfort, New Jersey Trenton, Vermont Montpelier, Utah Salt Lake City, Wyoming",Cheyenne,"Cheyenne,
Apr 22, "
112,"Rhode Island Providence, Alaska Juneau, Louisiana Baton Rouge, Wisconsin Madison, Colorado Denver, Arkansas Little Rock, Delaware",Dover,"Wilmington, Alabama Montgomery, Tennessee Nashville"
113,"New York Albany, Alaska Juneau, Oklahoma Oklahoma City, Indiana Indianapolis, Pennsylvania Harrisburg, Georgia Atlanta, Rhode Island",Providence,"Providence, Delaware Wilmington, California Los Angeles"
114,"Missouri Jefferson City, Idaho Boise, Oregon Salem, North Carolina Raleigh, Wyoming Cheyenne, Tennessee Nashville, Delaware",Dover,"Dover, Louisiana Baton Rouge, Michigan Lans"
115,"Tennessee Nashville, Minnesota St. Paul, Georgia Atlanta, Massachusetts Boston, Vermont Montpelier, Missouri Jefferson City, Idaho",Boise,"Boise, Illinois Springfield, California Sacramento,"
116,"Massachusetts Boston, Texas Austin, Alabama Montgomery, Idaho Boise, Kansas Topeka, Georgia Atlanta, Rhode Island",Providence,"Providence, Kentucky Frankfort, Illinois Springfield, Illinois"
117,"Mississippi Jackson, Ohio Columbus, Rhode Island Providence, Massachusetts Boston, Alaska Juneau, Michigan Lansing, Idaho",Boise,"Boise, Nevada Reno, Oklahoma City, Oklahoma"
118,"Rhode Island Providence, Colorado Denver, Delaware Dover, North Carolina Raleigh, North Dakota Bismarck, Montana Helena, Massachusetts",Boston,"Boston, South Carolina Columbia, Georgia Atlanta, South Dakota"
119,"North Dakota Bismarck, North Carolina Raleigh, Vermont Montpelier, Idaho Boise, Arkansas Little Rock, Iowa Des Moines, Oklahoma",Oklahoma City,"City, Oklahoma Oklahoma City, Alaska Anchorage,"
120,"Ohio Columbus, New Hampshire Concord, Utah Salt Lake City, Indiana Indianapolis, Mississippi Jackson, Nevada Carson City, Massachusetts",Boston,"Boston, New Jersey Trenton, Louisiana Baton Rou"
121,"Pennsylvania Harrisburg, Mississippi Jackson, Michigan Lansing, Oklahoma Oklahoma City, Ohio Columbus, Massachusetts Boston, Utah",Salt Lake City,"Salt Lake City, New York New York City, Texas Austin"
122,"Pennsylvania Harrisburg, South Carolina Columbia, Rhode Island Providence, West Virginia Charleston, Arizona Phoenix, Tennessee Nashville, Hawaii",Honolulu,"Honolulu, Virginia Richmond, Minnesota Minneapolis,"
123,"Tennessee Nashville, Rhode Island Providence, West Virginia Charleston, Arizona Phoenix, Missouri Jefferson City, New Mexico Santa Fe, Idaho",Boise,"Boise, Indiana Indianapolis, Massachusetts Boston, Oklahoma City"
124,"Oklahoma Oklahoma City, New Mexico Santa Fe, Kansas Topeka, Indiana Indianapolis, South Carolina Columbia, New Jersey Trenton, Georgia",Atlanta,"Augusta, Wisconsin Madison, New York Albany,"
125,"Massachusetts Boston, Delaware Dover, South Carolina Columbia, Kentucky Frankfort, Pennsylvania Harrisburg, Arkansas Little Rock, Tennessee",Nashville,"Nashville, Ohio Columbus, Oklahoma Oklahoma City, New"
126,"Montana Helena, Colorado Denver, Iowa Des Moines, North Dakota Bismarck, Wisconsin Madison, Oklahoma Oklahoma City, Utah",Salt Lake City,"Salt Lake City, Washington Seattle, and Oregon Portland,"
127,"South Dakota Pierre, Virginia Richmond, Idaho Boise, Connecticut Hartford, Mississippi Jackson, Georgia Atlanta, Hawaii",Honolulu,"Honolulu, Minnesota Minneapolis, South Dakota"
128,"Rhode Island Providence, Tennessee Nashville, Illinois Springfield, Louisiana Baton Rouge, Vermont Montpelier, Georgia Atlanta, New Jersey",Trenton,"Trenton, Ohio Columbus, Oklahoma Oklahoma City,"
129,"Florida Tallahassee, Montana Helena, Wyoming Cheyenne, Delaware Dover, South Carolina Columbia, New Jersey Trenton, Indiana",Indianapolis,"Indianapolis, Oklahoma City, Oklahoma Oklahoma City, Washington D"
130,"Maryland Annapolis, Tennessee Nashville, New Mexico Santa Fe, Alabama Montgomery, Arizona Phoenix, Iowa Des Moines, Massachusetts",Boston,"Boston, Washington D.C. Washington, Missouri St."
131,"Nevada Carson City, Tennessee Nashville, New Hampshire Concord, Delaware Dover, Florida Tallahassee, Hawaii Honolulu, Colorado",Denver,"Denver, Illinois Springfield, Indiana Indianapolis, Iowa"
132,"Massachusetts Boston, Georgia Atlanta, California Sacramento, Idaho Boise, Connecticut Hartford, Illinois Springfield, Utah",Salt Lake City,"Salt Lake City, Iowa Des Moines, Maine Augusta"
133,"South Dakota Pierre, Idaho Boise, Utah Salt Lake City, Delaware Dover, New Hampshire Concord, Texas Austin, Oklahoma",Oklahoma City,"City, Oklahoma, Oklahoma City, Oklahoma, Oklahoma City,"
134,"Wyoming Cheyenne, Oregon Salem, California Sacramento, Indiana Indianapolis, Illinois Springfield, Tennessee Nashville, Utah",Salt Lake City,"Salt Lake City, California San Francisco, California"
135,"Nebraska Lincoln, Massachusetts Boston, Hawaii Honolulu, New York Albany, Mississippi Jackson, Virginia Richmond, New Jersey",Trenton,"Trenton, North Carolina Raleigh, South Carolina"
